station_id,A,B,c,breakpoint,Elv,Lat,Lon,distance_to_coast,int_scale,min_K,max_K
175_PD_Co,2.893568108564996,0.0469827367222672,0.8195550863989794,0.0304884651894032,0,45.24367259,12.09970856,4.6669,1.0036499825499339,5.7220458984375e-06,6.0
179_PD_Ca,4.15023006646868,0.0203059703586407,0.7499160158063777,0.0590429433579306,16,45.49551578,11.91336346,21.654400000000003,1.1177303508994034,5.7220458984375e-06,6.0
183_TV_Vo,3.7601049489046505,0.0299201310171219,0.8023943528780237,0.009040035192046,122,45.78502414,12.11304779,36.0425,1.3092844217347896,5.7220458984375e-06,6.0
184_TV_Ze,3.225564269685395,0.0340405444678249,0.7789197232026976,0.016420946428449,12,45.59066694,12.1748348,14.694,1.0314711562321404,5.7220458984375e-06,6.0
185_TV_Va,3.269534740695937,0.043888004977102,0.8497676513264981,0.0040491581793617,40,45.81168647,12.34189762,29.2203,1.3187699356180937,5.7220458984375e-06,6.0
186_TV_Ga,4.15295136530322,0.0231725660749576,0.7775698210693568,0.0078831695217948,17,45.89217558,12.49348723,35.0215,1.4339168513979264,5.7220458984375e-06,6.0
187_TV_Ro,3.118997252390979,0.0442609171983119,0.8332093481579047,0.0081343426580494,7,45.64140487,12.39588815,10.2451,1.1831951557398932,5.7220458984375e-06,6.0
188_TV_Vi,3.804896213222861,0.0272180115589851,0.7844134682742777,0.0088389255987064,41,45.74894328,12.23496228,27.3815,1.3136809917313912,5.7220458984375e-06,6.0
189_TV_Va,5.288884572031496,0.019329241759002,0.8147966319856867,0.0081288768699059,225,45.88205751,12.0070972,49.569300000000005,1.951299794870392,5.7220458984375e-06,6.0
190_VI_Br,10.388130465670695,0.0088440782106119,0.8457952712248757,0.007383204218814,331,45.80132477,11.34330714,77.5676,3.3915747905960485,5.7220458984375e-06,6.0
191_VI_Mo,12.697315919075736,0.008375971632438,0.8905017469442469,0.0047739593379238,623,45.83331375,11.25603835,85.1496,4.565190345240787,5.7220458984375e-06,6.0
195_TV_Fa,4.526033155757177,0.0216528287663774,0.7903721801887451,0.0043082233684501,169,45.9021246,12.10445916,47.0016,1.8289001654846306,5.7220458984375e-06,6.0
196_TV_Od,4.150597340747791,0.0226749796174449,0.7727231946552306,0.0089741487033277,7,45.76569434,12.52427035,20.7827,1.3404230885848936,5.7220458984375e-06,6.0
197_TV_Ma,3.116179164027819,0.0424806828816078,0.8216781161977534,0.000119023939556,100,45.77892133,11.94236996,41.8915,1.2173845929383122,5.7220458984375e-06,6.0
199_BL_Lo,9.261497049256064,0.0094857764108667,0.8285040883918027,0.0079910790162221,435,46.26152058,12.30351169,78.17280000000001,2.6451160602614294,5.7220458984375e-06,6.0
200_BL_La,8.223972631345411,0.0096363444460435,0.7993216595815256,0.0040575418528675,650,46.04985912,11.74647606,75.4411,2.614051726421297,5.7220458984375e-06,6.0
203_BL_Pa,12.842197492588816,0.0051660435935937,0.798519143232404,0.0097176739113806,2042,46.33914263,11.80160227,100.4307,3.418254778571102,5.7220458984375e-06,6.0
216_BL_Ca,11.68665624557295,0.0097933306281406,0.902115243511554,0.0091717446100036,1022,46.07747932,12.41476528,56.3299,3.892704705423247,5.7220458984375e-06,6.0
236_BL_Sa,6.697203164860631,0.013779041428075,0.8133854218914964,0.004369127698553,828,46.18043287,12.39682227,67.8353,2.1834247299714775,5.7220458984375e-06,6.0
237_BL_Co,9.982305308766982,0.0083502795242591,0.8234082616978053,0.004116376823958,1271,46.53668964,12.12739699,111.241,3.1481767163645653,5.7220458984375e-06,6.0
246_BL_Co,7.585794713905081,0.011791540097451,0.8170392852914788,0.0072996557813161,1232,46.57877599,12.57556615,99.3964,2.4777122664321736,5.7220458984375e-06,6.0
247_BL_Ca,8.161240288861652,0.00862945032821,0.7768309593388966,0.0089503121284817,1342,46.59389393,12.51561664,102.9497,2.1113005443346196,5.7220458984375e-06,6.0
