station_id,A,B,c,breakpoint,Elv,Lat,Lon,distance_to_coast,min_K,max_K,gamma_acf,gamma_stable,gamma_spectrum
167_VE_Mi,2.9092979687859875,0.0480707501666391,0.8280711854971682,0.0171188901659869,3,45.43934709,12.1169216,5.9963,5.7220458984375e-06,6.0,1.0102638782272446,True,0.7273244921964969
168_VE_Ch,2.7844939439038634,0.0585638149039472,0.8678660930132948,0.018050918624835,0,45.14632401,12.27596996,2.9438,5.7220458984375e-06,6.0,1.0204226291071796,False,0.6961234859759658
169_PD_Ag,2.994205786478782,0.0444842620947818,0.8183600322262176,0.0631838106690686,1,45.15926189,11.95775646,19.0356,5.7220458984375e-06,6.0,0.9505536223650304,True,0.7485514466196955
170_PD_Te,3.545916795100684,0.0309169455384065,0.7896593294502885,0.0156705106342439,155,45.34272761,11.67713457,36.4199,5.7220458984375e-06,6.0,1.2739944623175348,True,0.886479198775171
175_PD_Co,2.8935681543655583,0.0469827331210996,0.8195550717541388,0.0304884651894031,0,45.24367259,12.09970856,4.6669,5.7220458984375e-06,6.0,1.0036499825499337,False,0.7233920385913896
179_PD_Ca,4.1502089459627145,0.0203065400163491,0.7499200667503998,0.0590429433579305,16,45.49551578,11.91336346,21.654400000000003,5.7220458984375e-06,6.0,1.1177303508994034,True,1.0375522364906786
183_TV_Vo,3.760106285066235,0.0299200911257806,0.802394158170793,0.009040035192046,122,45.78502414,12.11304779,36.0425,5.7220458984375e-06,6.0,1.3092844217347896,False,0.9400265712665588
184_TV_Ze,3.2255655135398023,0.0340404801048456,0.7789194153770562,0.016420946428449,12,45.59066694,12.1748348,14.694,5.7220458984375e-06,6.0,1.031471156232141,True,0.8063913783849506
185_TV_Va,3.269536158185395,0.043887860147518,0.8497668878875353,0.0040491581793617,40,45.81168647,12.34189762,29.2203,5.7220458984375e-06,6.0,1.318769935618094,True,0.8173840395463488
186_TV_Ga,4.152951449780052,0.023172564429705,0.7775698122469912,0.0078831695217948,17,45.89217558,12.49348723,35.0215,5.7220458984375e-06,6.0,1.433916851397927,False,1.038237862445013
187_TV_Ro,3.118998016730237,0.0442608789560366,0.8332092072067365,0.0081343426580494,7,45.64140487,12.39588815,10.2451,5.7220458984375e-06,6.0,1.1831951557398934,True,0.7797495041825593
188_TV_Vi,3.804896535814181,0.0272180033509505,0.7844134284640981,0.0088389255987064,41,45.74894328,12.23496228,27.3815,5.7220458984375e-06,6.0,1.3136809917313916,True,0.9512241339535452
189_TV_Va,5.28888459670383,0.0193292415329957,0.8147966308434258,0.0081288768699059,225,45.88205751,12.0070972,49.569300000000005,5.7220458984375e-06,6.0,1.9512997948703923,True,1.3222211491759575
190_VI_Br,10.388130289964908,0.0088440786042791,0.8457952757699049,0.007383204218814,331,45.80132477,11.34330714,77.5676,5.7220458984375e-06,6.0,3.3915747905960485,False,2.597032572491227
191_VI_Mo,12.697315976814547,0.0083759714619731,0.8905017436854037,0.0047739593379238,623,45.83331375,11.25603835,85.1496,5.7220458984375e-06,6.0,4.565190345240788,False,3.174328994203637
195_TV_Fa,4.526033337732132,0.0216528222492637,0.7903721271738541,0.0043082233684501,169,45.9021246,12.10445916,47.0016,5.7220458984375e-06,6.0,1.828900165484631,True,1.131508334433033
196_TV_Od,4.150598039348519,0.0226749634469217,0.7727230960576073,0.0089741487033277,7,45.76569434,12.52427035,20.7827,5.7220458984375e-06,6.0,1.3404230885848936,True,1.0376495098371297
197_TV_Ma,3.1161798437676955,0.0424806575169896,0.8216780414711501,0.000119023939556,100,45.77892133,11.94236996,41.8915,5.7220458984375e-06,6.0,1.217384592938313,True,0.7790449609419239
199_BL_Lo,9.26149688128397,0.0094857770935869,0.8285040979701036,0.0079910790162222,435,46.26152058,12.30351169,78.17280000000001,5.7220458984375e-06,6.0,2.645116060261429,True,2.3153742203209924
200_BL_La,8.223975045000707,0.0096363287313964,0.799321425975479,0.0040575418528675,650,46.04985912,11.74647606,75.4411,5.7220458984375e-06,6.0,2.614051726421297,False,2.0559937612501766
203_BL_Pa,12.842182798060431,0.005166068982328,0.7985197193353846,0.0097176739113807,2042,46.33914263,11.80160227,100.4307,5.7220458984375e-06,6.0,3.4182547785711006,False,3.210545699515108
216_BL_Ca,11.686656180697542,0.0097933308100689,0.9021152462212724,0.0091717446100035,1022,46.07747932,12.41476528,56.3299,5.7220458984375e-06,6.0,3.892704705423248,True,2.9216640451743854
236_BL_Sa,6.697204117287761,0.0137790309363682,0.8133853038246727,0.004369127698553,828,46.18043287,12.39682227,67.8353,5.7220458984375e-06,6.0,2.183424729971477,False,1.6743010293219402
237_BL_Co,9.98230576151304,0.008350277448327,0.8234082250466686,0.004116376823958,1271,46.53668964,12.12739699,111.241,5.7220458984375e-06,6.0,3.1481767163645658,False,2.49557644037826
246_BL_Co,7.585796446560278,0.0117915238309628,0.8170390667916637,0.0072996557813161,1232,46.57877599,12.57556615,99.3964,5.7220458984375e-06,6.0,2.4777122664321727,True,1.8964491116400695
247_BL_Ca,8.161259417136618,0.0086293618976521,0.7768297204822355,0.0089503121284817,1342,46.59389393,12.51561664,102.9497,5.7220458984375e-06,6.0,2.111300544334619,False,2.0403148542841545
