station_id,A,B,c,breakpoint,min_K,max_K,Elv,Lat,Lon,distance_to_coast,int_scale
105_VI_Lo,3.64657344588424,0.0205953599618389,0.7136586013258708,0.0650173680649737,5.7220458984375e-06,6.0,29,45.39045584,11.37964132,59.773300000000006,0.9450721772036077
112_RO_Ro,2.6085470350626263,0.0627508784843571,0.860270537400181,0.0336833476999086,5.7220458984375e-06,6.0,-2,45.07114136,12.26177816,2.5791,0.9541543487179039
114_RO_Vi,3.743586880213913,0.02330517467455,0.7457830689046778,0.0608331660809209,5.7220458984375e-06,6.0,0,45.07144877,11.92220596,27.0152,1.0144777176979662
115_RO_Ad,3.252863850606101,0.0349755850201268,0.7883948608228,0.032374744166035,5.7220458984375e-06,6.0,-1,45.01567605,12.0076803,23.5165,0.976218227984117
116_RO_Fr,3.301658312318562,0.0254632425305823,0.7239628328722623,0.0733716337285785,5.7220458984375e-06,6.0,4,44.99058314,11.6786399,47.88,0.873046446874089
117_VR_So,3.321537129909158,0.0361397468637035,0.8040560236080587,0.0336002265344108,5.7220458984375e-06,6.0,24,45.21753966,11.00830055,89.7255,1.0217464303815675
118_VR_Ba,4.1634856955542325,0.0148820742032205,0.6939208054896651,0.0636879913679479,5.7220458984375e-06,6.0,160,45.51796066,10.7659099,108.6995,1.0347548857548339
120_VR_Do,4.844622748407871,0.0132926554010724,0.7157348835498569,0.0163234274976012,5.7220458984375e-06,6.0,105,45.59957097,10.84874997,103.89280000000001,1.230659631164045
123_VR_Ar,2.9315380855032926,0.0394924069622082,0.7797736668829917,0.0313236270893228,5.7220458984375e-06,6.0,27,45.37550277,11.29582046,66.3564,0.9126291074084016
125_VR_Sa,3.587427778050689,0.021083590268117,0.7131451663313128,0.0336657016087781,5.7220458984375e-06,6.0,127,45.50931262,10.88807026,99.10839999999999,0.9546966789823812
126_VR_Il,3.601932564208401,0.0273949743799354,0.7675086003155321,0.0326997727452794,5.7220458984375e-06,6.0,144,45.46030398,11.17156147,76.46010000000001,1.112041684408059
127_VR_Bu,3.043833074468047,0.0335486990094632,0.7551621455252173,0.0318628616222016,5.7220458984375e-06,6.0,39,45.35084342,11.01059728,88.6592,0.8922648546430193
128_VR_Gr,2.996288786901785,0.0340380319848502,0.7529155719277507,0.0341835633383943,5.7220458984375e-06,6.0,156,45.50976063,11.0135023,89.40610000000001,0.8963529357511393
