station_id,tau_1,tau_2,tau_3,tau_4,tau_5,tau_6,tau_7,tau_8,tau_9,tau_10,tau_11,tau_12,tau_13,tau_14,tau_15,tau_16,tau_17
186_TV_Ga,1.4186026541351988,1.4218639776032003,1.4222203494149288,1.412691698930612,1.4086949227331884,1.406549001950761,1.396017676115987,1.3972216664943315,,,,,,,,,
187_TV_Ro,1.4358271898599653,1.4348358701549677,1.432626926092419,1.4259898890327605,1.4224909564854025,1.4201773268092264,1.4202803946503963,,,,,,,,,,
188_TV_Vi,1.4239741875255987,1.4305573454633795,1.4207400623371407,1.4208120039646273,1.4354768529714108,1.4100538256079518,1.4128133297264176,1.4120549107976503,1.3876710576753095,,,,,,,,
189_TV_Va,1.4187340464971345,1.4242852374332937,1.4290481629131226,1.4176432173380409,1.4274640389530662,1.4145531739933843,1.4097470868786082,1.4055700609065607,1.4033628732742403,,,,,,,,
190_VI_Br,1.4107771426821873,1.4093920803216256,1.41254428770051,1.415065650998625,1.4211966779617107,1.417180442667497,1.3865635160089897,1.4124900717767237,1.4364669438970206,,,,,,,,
191_VI_Mo,1.4063661724929815,1.4122301673011997,1.4012364863196214,1.3784133919338035,1.3873002925706417,1.410842837847039,1.3909757242205056,1.4403522130617405,1.437151980293509,,,,,,,,
195_TV_Fa,1.428254907541136,1.4242054923767136,1.4107724552000636,1.407780383509644,1.4147533320627663,1.4132661305099206,1.406495345526846,1.4014609717145652,1.383048036937544,,,,,,,,
196_TV_Od,1.4232737833593827,1.4231891965403611,1.418663445842743,1.4213511211061978,1.4093531733245348,1.3987726129981726,1.411902943437222,1.412965676624511,,,,,,,,,
197_TV_Ma,1.4277645534862753,1.4385459639310512,1.4293598267362697,1.412702139424556,1.4088657358270433,1.4063830474363235,1.4082943607082485,1.385723471269622,1.3918386449218803,,,,,,,,
199_BL_Lo,1.402880964870782,1.410283856395537,1.405327810147901,1.39054505156528,1.4085459332911323,1.3910304163340406,1.3849375449323456,1.6526165009114708,1.4123943734992432,,,,,,,,
200_BL_La,1.4075916641002617,1.4166318807162144,1.4093742142680805,1.3982595013815906,1.404029356407553,1.3888454186872177,1.415342933245515,1.648987474077187,1.3944723358560513,,,,,,,,
203_BL_Pa,1.399519375076648,1.401268770938005,1.3886579498486047,1.375593797592141,1.390416689024212,1.4086357550306299,1.408188984083057,1.4019865369043214,1.4154727985113602,,,,,,,,
216_BL_Ca,1.4020142414256025,1.3983110145702042,1.3972765455332783,1.3884148237623728,1.4066751022962445,1.4022571295205841,1.418376593216954,1.4380016527340251,1.6476446501109028,,,,,,,,
236_BL_Sa,1.4170429684902885,1.4206610209681403,1.399652905216916,1.396654162176701,1.4012932548483095,1.3936932522790426,1.3835797433015837,1.4090469419711187,1.4001184183275,1.3732553680406518,,,,,,,
